key,city,hos_count_city,k_count_city
1,宜蘭縣,10,129
2,花蓮縣,10,138
3,金門縣,1,26
4,南投縣,11,188
5,屏東縣,25,300
6,苗栗縣,15,181
7,桃園縣,34,599
8,高雄市,90,669
9,基隆市,9,107
10,連江縣,1,6
11,雲林縣,15,149
12,新北市,53,1143
13,新竹市,8,160
14,新竹縣,9,235
15,嘉義市,12,71
16,嘉義縣,4,156
17,彰化縣,33,365
18,臺中市,68,731
19,臺北市,37,682
20,臺東縣,7,124
21,臺南市,39,549
22,澎湖縣,3,27
