,world_rank,institution,country,long,lat,web_addr,logo_source
36,36,?cole Polytechnique,France,2.212161,48.714417,www.polytechnique.edu/,lh3.googleusercontent.com/-QIWtp8fPUZ0/AAAAAAAAAAI/AAAAAAAAABU/xveN1EU_iao/s0-c-k-no-ns/photo.jpg
37,37,?cole normale sup?rieure Paris-Saclay,France,2.327524,48.78906,www.ens-cachan.fr/,www.universite-paris-saclay.fr/sites/default/files/logoens.jpg
38,38,Waseda University,Japan,139.720826,35.709199,www.waseda.jp/,upload.wikimedia.org/wikipedia/en/thumb/0/0d/Waseda_University_Logo.svg/1024px-Waseda_University_Logo.svg.png
39,39,Weizmann Institute of Science,Israel,34.809832,31.904339,www.weizmann.ac.il/,media.licdn.com/mpr/mpr/shrink_200_200/p/1/005/093/06e/094d865.png
40,40,University of North Carolina at Chapel Hill,USA,-79.050969,35.912165,www.unc.edu/,www.prolinkedu.com/school/usa/unis/university_pictures/University_of_North_Carolina_Chapel_Hill_logo
41,41,University of Virginia,USA,-78.502597,38.036548,www.virginia.edu/,d28htnjz2elwuj.cloudfront.net/wp-content/uploads/2013/11/University_of_Virginia_Logo.jpg
42,42,McGill University,Canada,-73.577205,45.504837,www.mcgill.ca/,www.universitas21.com/upload/member/logo/full/8McGill.jpg
43,43,Purdue University,USA,-86.914435,40.428206,www.purdue.edu/,media.licdn.com/mpr/mpr/shrink_200_200/p/1/005/008/0c9/04cf063.png
44,44,Dartmouth College,USA,-72.260331,43.71365,www.dartmouth.edu,img2.findthebest.com/sites/default/files/10/media/images/t2/Dartmouth_College_1015895.png
45,45,Osaka University,Japan,135.524435,34.822023,www.osaka-u.ac.jp/,upload.wikimedia.org/wikipedia/en/thumb/6/65/Osaka_University_logo.svg/1024px-Osaka_University_logo.svg.png
46,46,"University of Pittsburgh, Pittsburgh Campus",USA,-79.954692,40.444502,www.pitt.edu/,2.bp.blogspot.com/-eHqFfGPzkX8/UV2s6_F5qxI/AAAAAAAAAe0/1uNCccvy6Tg/s1600/university+of+pittsburgh.png
47,47,"Pennsylvania State University, University Park",USA,-77.861644,40.800732,www.psu.edu/,www.hillel.org/CGimages/IMAGE-03062012093452.jpg
48,48,"University of Minnesota, Twin Cities",USA,-93.235352,44.977886,twin-cities.umn.edu/,pbs.twimg.com/profile_images/794194466655510528/2dGxLAzL.jpg
49,49,"Ohio State University, Columbus",USA,-83.009001,39.998389,www.osu.edu/,files.graphiq.com/10/media/images/Ohio_State_University-Main_Campus_1_220283.png
